,Year,Hare,Lynx
1,1845.0,19580.0,30090.0
2,1846.0,19600.0,45150.0
3,1847.0,19610.0,49150.0
4,1848.0,11990.0,39520.0
5,1849.0,28040.0,21230.0
6,1850.0,58000.0,8420.0
7,1851.0,74600.0,5560.0
8,1852.0,75090.0,5080.0
9,1853.0,88480.0,10170.0
10,1854.0,61280.0,19600.0
11,1855.0,74670.0,32910.0
12,1856.0,88060.0,34380.0
13,1857.0,68510.0,29590.0
14,1858.0,32189.999999999996,21300.0
15,1859.0,12640.0,13690.0
16,1860.0,21490.0,7650.0
17,1861.0,30350.0,4080.0
18,1862.0,2180.0,4090.0
19,1863.0,152650.0,14330.0
20,1864.0,148360.0,38220.0
21,1865.0,85810.0,60780.0
22,1866.0,41410.0,70770.0
23,1867.0,14750.0,72770.0
24,1868.0,2280.0,42680.0
25,1869.0,5910.0,16390.0
26,1870.0,9950.0,9830.0
27,1871.0,10440.0,5800.0
28,1872.0,70640.0,5260.0
29,1873.0,50120.0,18910.0
30,1874.0,50130.0,30950.0
31,1875.0,101250.0,31180.0
32,1876.0,97120.0,46340.0
33,1877.0,86510.0,45770.0
34,1878.0,72170.0,44150.0
35,1879.0,38320.0,36330.0
36,1880.0,10110.0,12030.0
37,1881.0,7740.0,12600.0
38,1882.0,9670.0,18340.0
39,1883.0,43120.0,35140.0
40,1884.0,52210.0,43770.0
41,1885.0,134850.0,65690.0
42,1886.0,134860.0,79350.0
43,1887.0,103790.0,51650.0
44,1888.0,46100.0,32590.000000000004
45,1889.0,15030.0,22450.0
46,1890.0,24200.0,16160.0
47,1891.0,41650.0,14120.0
48,1892.0,52340.0,20380.0
49,1893.0,53780.0,33330.0
50,1894.0,70400.0,46000.0
51,1895.0,85810.0,51410.0
52,1896.0,56690.0,46430.0
53,1897.0,16590.0,33680.0
54,1898.0,6160.0,18010.0
55,1899.0,2300.0,8860.0
56,1900.0,12820.0,7130.0
57,1901.0,4720.0,9470.0
58,1902.0,4730.0,14860.0
59,1903.0,37220.0,31470.0
60,1904.0,69720.0,60570.0
61,1905.0,57780.0,63510.0
62,1906.0,28680.0,54700.0
63,1907.0,23370.0,6300.0
64,1908.0,21540.0,3410.0
65,1909.0,26340.0,5440.0
66,1910.0,53100.0,11650.0
67,1911.0,68480.0,20350.0
68,1912.0,75580.0,32880.0
69,1913.0,57920.0,39550.0
70,1914.0,40970.0,43360.0
71,1915.0,24950.0,40830.0
72,1916.0,12590.0,30360.0
73,1917.0,4970.0,17180.0
74,1918.0,4500.0,6820.0
75,1919.0,11210.0,3190.0
76,1920.0,56600.0,3520.0
77,1921.0,69630.0,9940.0
78,1922.0,77740.0,20300.0
79,1923.0,80530.0,31990.0
80,1924.0,73380.0,42360.0
81,1925.0,36930.0,49080.0
82,1926.0,4640.0,53990.0
83,1927.0,2540.0,52250.0
84,1928.0,1800.0,37700.0
85,1929.0,2390.0,19140.0
86,1930.0,4230.0,6980.0
87,1931.0,19520.0,8310.0
88,1932.0,82110.0,16010.000000000002
89,1933.0,89760.0,24820.0
90,1934.0,81660.0,29700.0
91,1935.0,15760.0,35400.0
